loc_id,province,district,local_level,ward_no
1060411,Koshi,BHOJPUR,Bhojpur Municipality,11
1060407,Province 1,Bhojpur,Bhojpur Municipality,7
1060303,Koshi,BHOJPUR,Temkemaiyung Rural Municipality,3
1060706,Koshi,BHOJPUR,Ramprasad Rai Rural Municipality,6
1060707,Koshi,BHOJPUR,Ramprasad Rai Rural Municipality,7
1060708,Koshi,BHOJPUR,Ramprasad Rai Rural Municipality,8
1060903,Koshi,BHOJPUR,Aamchowk Rural Municipality,3
1060901,Koshi,BHOJPUR,Aamchowk Rural Municipality,1
1060604,Koshi,BHOJPUR,Pauwadungma Rural Municipality,4
1060402,Koshi,BHOJPUR,Bhojpur Municipality,2
1060410,Koshi,BHOJPUR,Bhojpur Municipality,10
1060408,Koshi,BHOJPUR,Bhojpur Municipality,8
1060409,Koshi,BHOJPUR,Bhojpur Municipality,9
1060403,Koshi,BHOJPUR,Bhojpur Municipality,3
1060406,Koshi,BHOJPUR,Bhojpur Municipality,6
1060400,Koshi,BHOJPUR,Bhojpur Municipality,0
1060902,Koshi,BHOJPUR,Aamchowk Rural Municipality,2
1060309,Koshi,Bhojpur,Temkemaiyung Rural Municipality,9
1060703,Koshi,BHOJPUR,Ramprasad Rai Rural Municipality,3
1010802,Koshi,TAPLEJUNG,Sirijangha Rural Municipality,2
1010807,Koshi,TAPLEJUNG,Sirijangha Rural Municipality,7
1060405,Koshi,BHOJPUR,Bhojpur Municipality,5
1060401,Koshi,BHOJPUR,Bhojpur Municipality,1
1060107,Koshi,BHOJPUR,Shadananda Municipality,7
1060109,Koshi,BHOJPUR,Shadananda Municipality,9
1060113,Koshi,BHOJPUR,Shadananda Municipality,13
1060102,Koshi,BHOJPUR,Shadananda Municipality,2
1060108,Koshi,BHOJPUR,Shadananda Municipality,8
1060114,Koshi,BHOJPUR,Shadananda Municipality,14
1060505,Koshi,BHOJPUR,Arun Rural Municipality,5
1060502,Koshi,BHOJPUR,Arun Rural Municipality,2
1060603,Koshi,BHOJPUR,Pauwadungma Rural Municipality,3
1060601,Koshi,BHOJPUR,Pauwadungma Rural Municipality,1
