hseb_code,school_code
8206,400040007
8019,40060010
7313,730100006
6853,680010006
6844,680180001
5686,560040008
5023,500400012
4957,490350009
3825,380070017
3437,340200080
2849,280570010
2780,270310344
2579,250230001
2226,220040030
2216,220360001
2104,210290008
1862,180520003
1861,180180002
1860,180040001
1667,160310003
1403,140170008
805,80050001
528,50580009
304,30200008
222,20210001
216,20080001
213,20290001
208,20390001
128,10480001
123,10030001
231,20250001
495,40120010
3458,340200047
7461,740040001
5333,530010003
8219,400320094
2447,240070003
8047,40060002
3923,390410001
4607,460740008
1408,140080003
7459,740040003
6021,600300001
5014,500300003
7402,740250001
8304,50180012
6507,650120002
1443,140250005
1561,150270003
1859,180040002
4874,480010011
233,20120004
112,10450006
228,20080002
479,40020005
5749,570010012
239,20250004
481,40470005
5843,580130018
1339,130050001
1958,190430019
649,60390011
4825,480010010
1638,160300007
542,50100002
8324,50050002
7687,270310311
5846,580110045
1659,160030014
1710,170540001
7430,740010008
7822,270240018
1756,170290003
5679,560050009
5736,570320032
2723,270520010
4005,400320096
7989,270310082
7419,740010003
3439,340200125
2736,270310511
8116,250270058
7991,270590005
7746,270100006
7741,270310099
2063,200150004
7953,270310324
624,60180009
597,50140016
8215,400320048
8031,40100016
7879,270280050
3039,300380012
1657,160900026
1547,150610009
804,80250010
1952,190160001
6202,620100002
3957,390040008
5676,560010014
3441,340200138
7742,270380004
5415,540180004
7937,270010004
7760,270310692
7428,740540001
4632,460320007
1526,151040003
6918,690110002
5654,560220007
7612,270300010
7009,700080010
742,70020004
5305,530470001
8261,400280001
8248,400320056
8212,400320117
7745,270190005
7607,270310021
6934,690440001
5981,590070041
5714,570250012
5225,520490003
5216,520020001
4944,490630039
4806,480050248
4643,460400001
3841,380120008
3806,380040024
3707,370590008
3404,340200065
2847,280170001
2808,280320003
2570,250270096
2455,240590005
2309,230690004
2128,210280008
1962,190400012
1530,150970016
1237,120050002
725,70160003
565,50240001
424,40420005
8007,40180005
7519,750080007
7403,740370007
7211,720200004
5739,570290006
3619,360290004
2706,270310347
1604,160630034
7926,270380007
4090,400220029
8517,350250007
7783,270230006
7229,720110094
6401,640150005
6050,600170003
5849,580040008
5754,570290003
4078,400260006
3976,390350010
3864,380090012
3728,370070001
3712,370190010
3045,300450005
2534,250270162
2439,240750003
2418,240060013
2131,210370001
1225,120040003
1126,110300014
588,50140127
515,50140010
207,20100001
8520,350200001
3052,300020010
7889,270310323
7785,270590008
5973,590480022
5607,560400020
4527,450280001
3312,330330002
3011,300070004
2620,260120049
2225,220080005
2201,220240014
914,90160007
706,70150030
586,50180008
488,40010017
484,40150003
473,40330014
310,30030001
103,10150009
7929,270310199
7823,270310271
7520,750060006
5021,500340006
3849,380250001
3313,330560001
3018,300060007
2530,250090004
7792,270310912
3427,340490003
2586,250230006
723,70140001
8605,480070139
8056,40060003
7948,270310488
7602,270310358
7224,720090003
6704,670030002
6703,670190011
6412,640120002
5848,580040009
5768,570320037
5761,570230014
5638,560090013
4911,490630041
4754,470250006
4645,460230003
4627,460040007
3973,390220012
3845,380110001
3456,340590003
3223,320240002
3221,320120002
3055,300370003
3037,300210008
3035,300190010
2829,280330001
2809,280480010
2638,260030005
2610,260030021
2592,250270037
2590,250220007
1959,190100003
1812,180440002
1713,170160027
1654,160390002
1003,100050002
920,90150009
739,70060008
434,40220006
332,30130001
115,10190007
8410,490390003
7233,720110025
2042,200070007
1943,190200002
5746,570190005
5523,550030003
5510,550380005
4555,450170010
4509,450020011
3474,340200120
3067,300390002
2556,250250005
2304,230250003
907,90080008
241,20260002
8249,400320064
7728,270310924
7619,270570005
7408,740190001
6938,690660007
6849,680200003
6310,630170002
5929,590030002
5829,580030006
5673,560210008
5530,550040002
5212,520080005
5118,510190013
4836,480080001
4777,470160003
4610,460060005
3842,380040008
3468,340200134
3130,310280011
3104,310210005
2775,270310879
2569,250270079
2535,250270129
2495,240080012
2449,240400006
2320,230510005
1401,140070007
1118,110260001
823,80240003
720,70320005
708,70130008
636,60120017
631,60180055
420,40110015
8507,350100016
8338,50090003
7986,270400007
7936,270140008
7812,270190006
7190,710230008
6846,680030005
6423,640160003
5671,560360004
5514,550240007
5017,500380005
5002,500690007
4746,470620030
3710,370070010
3459,340200038
3330,330680009
3101,310200041
3053,300370001
3036,300100008
3029,300150012
2636,260170009
2552,250370011
2468,240840002
2452,240060009
2421,240660014
1606,160630026
1545,150970010
1102,110250007
733,70360005
717,70220011
487,40150001
5942,590340007
5921,590290021
4998,490620006
2587,250270076
2465,240140006
8364,50610008
7992,270280068
6905,690130004
5908,590430014
5742,570320060
4562,450210002
2574,250270159
2424,240050003
1757,170100125
1668,160030005
1564,150600001
1307,130060002
1213,120280002
580,50050003
556,50140191
5818,580080009
2567,250040005
1456,140130005
476,40450007
8367,50030003
8268,400150008
8260,400320162
8247,400320055
8218,400320092
8107,250100003
8017,40120025
7965,270310025
7933,270310327
7851,270310047
7730,270230007
7642,270310405
7606,270310602
7526,750390004
7256,720160001
7222,720190001
7120,710100018
6926,690180001
6829,680350001
6512,650040003
6438,640180005
6427,640170002
6408,640020001
6306,630020003
6127,610070015
6037,600110001
6030,600190001
5971,590290017
5944,590320009
5827,580110029
4815,480210020
4658,460280002
4640,460240007
4628,460300007
4602,460540005
4082,400360003
4025,400140013
4009,400110001
4001,400320149
3974,390030005
3850,380110033
3814,380040004
3631,360060004
3246,320860001
3135,310040006
3007,300500006
2903,290050006
2839,280410008
2826,280020005
2738,270310769
2640,260030024
2621,260070010
2616,260080011
2596,250040004
2513,250190002
2482,240720007
2473,240200001
2461,240060010
2412,240380007
2222,220310005
2111,210020003
2106,210300002
1960,190400017
1915,190360005
1621,161080002
1303,130630001
923,90130033
819,80070001
744,70100002
703,70030010
702,70150029
701,70260001
595,50070005
587,50100008
531,50390013
475,40370019
460,40010018
316,30210001
315,30340001
118,10040006
7931,270310829
5655,560190005
2460,240060006
8342,50210018
8325,50310011
8123,250170007
8035,40010016
7506,750390007
7173,710100043
7152,710100052
6110,610160009
5725,570390008
3706,370200008
3239,320190007
1651,160630041
1529,150870003
8326,50140125
8312,50140178
8032,40220001
7988,270550007
7942,270310525
7648,270200006
6702,670110005
6510,650180010
3739,370200007
2768,270310475
2732,270310329
2360,230060010
1737,170020001
713,70080001
503,50530012
486,40010009
4945,490020007
8264,400320205
8263,400090006
7865,270280036
7704,270310807
7659,270310202
7154,710440009
6717,670160001
6115,610290002
4547,450310029
3362,330090003
3050,300240006
3026,300430001
3005,300290014
2901,290090010
2799,270310701
1514,150390008
608,60180011
534,50080006
2548,250270084
615,60180133
8446,490060003
8322,50330002
8228,400320134
7977,270040003
7938,270200005
7932,270310567
7930,270430002
7796,270070002
7716,270310773
7677,270310355
7323,730130021
7261,720110064
7207,720110142
7034,700360001
7028,700240005
7005,700350005
6939,690210004
6848,680020006
6833,680010004
6827,680060004
6813,680020005
6807,680190006
6805,680050008
6205,620230008
6203,620050004
6046,600100002
6017,600130001
5836,580290004
5709,570230003
5658,560160015
5304,530080004
5220,520090009
5119,510280001
4984,490250001
4621,460220009
4531,450060008
4307,430020011
4201,420070006
4084,400050011
4046,400320058
3939,390100001
3858,380220008
3837,380320002
3819,380040022
3801,380040006
3741,370400004
3731,370060004
3405,340200062
3134,310420003
3117,310020010
3066,300330014
3065,300050011
3030,300010003
2858,280170005
2848,280500003
2845,280020003
2837,280060007
2741,270060004
2637,260140006
2584,250150005
2583,250280009
2478,240360007
2454,240730006
2435,240190008
2429,240670005
2348,230110005
2318,230190002
2236,220010003
2049,200520010
1904,190500002
