hseb_code,school_code
6901,690240001
6931,690240001
6902,690350003
6903,690240006
6905,690130004
6908,690040005
6922,690040005
6910,690230004
6911,690320001
6912,690380003
6913,690140002
6915,690560001
6917,690430004
6918,690110002
6919,690160002
6921,690050010
6923,690040003
6924,690140001
6926,690180001
6927,690030003
6932,690690001
6934,690440001
6936,690190003
6938,690660007
6939,690210004
5104,510130008
5105,510360011
5110,510370003
5123,510370003
5111,510240005
5112,510180001
5118,510190013
5119,510280001
5122,510340002
5124,510200012
5125,510030006
5128,510060003
5129,510180007
5135,510330001
5141,510310009
4509,450020011
4517,450310023
4521,450020005
4522,450310025
4523,450310027
4526,450470003
4527,450280001
4531,450060008
4540,450090003
4542,450050004
4543,450160012
4547,450310029
4555,450170010
4557,450310021
4558,450310035
4562,450210002
4567,450180002
4568,450290008
4569,450310036
4570,450060006
4572,450400004
4573,450180015
7401,740230003
7411,740230003
7402,740250001
7403,740370007
7405,740600001
7407,740180001
7408,740190001
7436,740190001
7409,740090004
7454,740090004
7410,740030001
7412,740280002
7450,740280002
7456,740280002
7413,740520004
7414,740400001
7415,740450001
7416,740170002
7429,740170002
7418,740040005
7447,740040005
7419,740010003
7421,740210005
7422,740100003
7424,740160017
7427,740110006
7428,740540001
7430,740010008
7431,740560003
7434,740160012
7437,740030004
7457,740030004
7438,740100002
7439,740100004
7440,740330001
7441,740040003
7459,740040003
7442,740020001
7458,740020001
7444,740200001
7445,740510002
7446,740120002
7449,740210002
7451,740020004
7461,740040001
7463,740030006
7464,740270003
6801,680050005
6802,680030001
6803,680350001
6829,680350001
6805,680050008
6842,680050008
6807,680190006
6808,680030006
6810,680260002
6811,680070001
6812,680040004
6813,680020005
6814,680100005
6836,680100005
6815,680240005
6816,680030005
6846,680030005
6818,680020009
6822,680020009
6819,680030003
6840,680030003
6821,680080001
6823,680150004
6824,680130009
6826,680330006
6827,680060004
6830,680060004
6831,680010008
6832,680010007
6833,680010004
6834,680120006
6837,680290001
6839,680160003
6841,680080009
6843,680270003
6844,680180001
6845,680110005
6847,680340003
6848,680020006
6849,680200003
6850,680110006
6853,680010006
6701,670210010
6702,670110005
6703,670190011
6704,670030002
6705,670200005
6706,670100003
6715,670100003
6707,670040008
6708,670180001
6709,670080004
6710,670010007
6712,670220002
6713,670270005
6714,670010005
6716,670090014
6717,670160001
6718,670070003
6720,670070003
6722,670010006
6723,670260001
6724,670110008
5703,570320022
5705,570010003
5730,570010003
5738,570010003
5706,570320085
5708,570010011
5775,570010011
5709,570230003
5714,570250012
5715,570250018
5716,570010008
5717,570250010
5718,570320014
5719,570020008
5720,570250009
5724,570320062
5725,570390008
5726,570120004
5728,570120004
5766,570120004
5727,570320016
5729,570110004
5731,570390014
5736,570320032
5739,570290006
5742,570320060
5744,570080012
5749,570010012
5750,570320040
5754,570290003
5755,570270003
5741,570320026
5746,570190005
5761,570230014
5762,570230006
5763,570430016
5764,570190003
5765,570010001
5768,570320037
5770,570250036
5773,570230019
3302,330680009
3330,330680009
3303,330020002
3304,330020002
3308,330020002
3309,330020002
3315,330020002
3316,330020002
3318,330020002
3321,330020002
3324,330020002
3331,330020002
3333,330020002
3334,330020002
3339,330020002
3341,330020002
3349,330020002
3338,330020002
3359,330020002
3311,330750015
3312,330330002
3313,330560001
3319,330520018
3322,330680005
3323,330680005
3345,330680005
3328,330680013
