school-code,ng,E,D,D+,C,C+,B,B+,A,A+,total,class,year
101,0,0,0,3,15,6,1,1,0,0,26,11,2075
102,0,3,0,0,10,5,0,0,0,0,18,11,2075
103,0,1,0,2,6,5,0,0,0,0,14,11,2075
104,0,7,0,6,9,19,4,0,0,0,45,11,2075
105,0,3,2,13,14,9,0,0,0,0,41,11,2075
106,0,40,4,33,108,78,24,1,0,0,288,11,2075
107,0,0,0,9,28,5,1,0,0,0,43,11,2075
108,0,0,0,2,6,0,1,0,0,0,9,11,2075
109,0,3,0,3,10,9,1,0,0,0,26,11,2075
110,0,3,0,2,2,10,4,0,0,0,21,11,2075
112,0,0,0,4,9,16,3,0,0,0,32,11,2075
113,0,0,0,3,14,16,2,0,1,0,36,11,2075
114,0,1,0,3,14,8,1,0,0,0,27,11,2075
115,0,2,0,9,8,1,0,0,0,0,20,11,2075
116,0,0,0,1,13,5,0,0,0,0,19,11,2075
117,0,7,0,0,7,10,0,0,0,0,24,11,2075
118,0,2,0,5,14,6,1,0,0,0,28,11,2075
119,0,9,1,27,31,26,10,4,0,0,108,11,2075
120,0,1,0,2,14,6,0,1,0,0,24,11,2075
121,0,6,3,15,6,1,0,0,0,0,31,11,2075
122,0,3,0,4,11,10,2,0,0,0,30,11,2075
123,0,0,0,0,3,1,0,0,0,0,4,11,2075
124,0,4,0,21,16,4,1,0,0,0,46,11,2075
125,0,5,1,2,2,0,0,0,0,0,10,11,2075
126,0,0,0,0,3,3,0,0,0,0,6,11,2075
127,0,3,0,1,6,8,1,0,0,0,19,11,2075
128,0,4,0,0,5,5,1,1,0,0,16,11,2075
129,0,0,0,0,8,8,2,1,0,0,19,11,2075
130,0,0,1,1,0,0,0,0,0,0,2,11,2075
201,0,0,1,13,17,16,6,0,1,0,54,11,2075
202,0,1,0,2,3,9,2,0,0,0,17,11,2075
204,0,7,0,20,53,35,4,2,0,0,121,11,2075
205,0,2,0,9,10,27,7,2,0,0,57,11,2075
206,0,3,2,9,19,15,3,0,0,0,51,11,2075
207,0,1,2,15,13,7,1,0,0,0,39,11,2075
208,0,1,2,11,26,14,2,0,0,0,56,11,2075
209,0,1,5,5,15,12,2,0,0,0,40,11,2075
