neb_code,school_name,district
101,MAIWA KHOLA SECONDARY SCHOOL,TAPLEJUNG
102,GANESH SECONDARY SCHOOL,TAPLEJUNG
103,MOTI SECONDARY SCHOOL,TAPLEJUNG
104,SINAM SECONDARY SCHOOL,TAPLEJUNG
105,BHANJYANG SECONDARY SCHOOL,TAPLEJUNG
106,BHANUJAN SECONDARY SCHOOL,TAPLEJUNG
107,DURGA SECONDARY SCHOOL,TAPLEJUNG
108,BAL SUBODHINI SANSKRIT SECONDARY SCHOOL,TAPLEJUNG
109,NARAYANI SECONDARY SCHOOL,TAPLEJUNG
110,SARASWATI SECONDARY SCHOOL,TAPLEJUNG
112,THECHAMBU SECONDARY SCHOOL,TAPLEJUNG
113,TELLOK SECONDARY SCHOOL,TAPLEJUNG
114,JANATA SECONDARY SCHOOL,TAPLEJUNG
115,SIWA SECONDARY SCHOOL,TAPLEJUNG
116,KALIKA SECONDARY SCHOOL,TAPLEJUNG
117,SARASWATI SECONDARY SCHOOL,TAPLEJUNG
118,CHANGE SECONDARY SCHOOL,TAPLEJUNG
119,KANCHANJUNGHA BOARDING  SECONDARY SCHOOL,TAPLEJUNG
120,PRITHVI  SECONDARY SCHOOL,TAPLEJUNG
121,TRIBHUVAN  SECONDARY SCHOOL,TAPLEJUNG
122,NILGIRI  SECONDARY SCHOOL,TAPLEJUNG
123,CHAKSIBOTE SECONDARY SCHOOL,TAPLEJUNG
124,SANWA SECONDARY SCHOOL,TAPLEJUNG
125,SIDDHAKALI SECONDARY SCHOOL,TAPLEJUNG
126,MAHENDRA SECONDARY SCHOOL,TAPLEJUNG
127,BIRENDRA SECONDARY SCHOOL,TAPLEJUNG
128,SHARADA SECONDARY SCHOOL,TAPLEJUNG
129,AMBEGUDIN SECONDARY SCHOOL,TAPLEJUNG
130,SARASWATI SECONDARY SCHOOL,TAPLEJUNG
201,SIDDHADEVI SECONDARY SCHOOL,PANCHTHAR
202,NILGIRI SECONDARY SCHOOL,PANCHTHAR
204,KANCHANJANGHA ACADEMY SECONDARY SCHOOL,PANCHTHAR
205,PRITHIVI SECONDARY SCHOOL,PANCHTHAR
206,DURGA SECONDARY SCHOOL,PANCHTHAR
207,SIDDHAKALI SECONDARY SCHOOL,PANCHTHAR
208,THARPU SECONDARY SCHOOL,PANCHTHAR
209,SIRIJUNG SECONDARY SCHOOL,PANCHTHAR
210,AMARPUR SECONDARY SCHOOL,PANCHTHAR
211,KHALANGATAR SECONDARY SCHOOL,PANCHTHAR
212,INDRANI SECONDARY SCHOOL,PANCHTHAR
213,PHIDIM SECONDARY SCHOOL,PANCHTHAR
214,SIDDHADEVI SECONDARY SCHOOL,PANCHTHAR
215,RANITAR SECONDARY SCHOOL,PANCHTHAR
216,BISHNU SECONDARY SCHOOL,PANCHTHAR
217,MAHADEV GUPTESHWOR  SECONDARY SCHOOL,PANCHTHAR
218,JAY NARAYAN ADARSHA SECONDARY SCHOOL,PANCHTHAR
219,SARASWATI  SECONDARY SCHOOL,PANCHTHAR
220,ITHUNG  SECONDARY SCHOOL,PANCHTHAR
221,SIDDHESWORI  SECONDARY SCHOOL,PANCHTHAR
222,GANESH  SECONDARY SCHOOL,PANCHTHAR
223,SARATAP SECONDARY SCHOOL,PANCHTHAR
224,SATYAHANGMA SECONDARY SCHOOL,PANCHTHAR
225,JANA KALYAN SECONDARY SCHOOL,PANCHTHAR
226,GHURBISE PANCHAMI SECONDARY SCHOOL,PANCHTHAR
227,DURGA SECONDARY SCHOOL,PANCHTHAR
228,SINGA DEVI SECONDARY SCHOOL,PANCHTHAR
229,SARASWATI SECONDARY SCHOOL,PANCHTHAR
230,ARUBOTE SECONDARY SCHOOL,PANCHTHAR
231,GUPTESHWOR SECONDARY SCHOOL,PANCHTHAR
232,SIDDHA SARASWATI SECONDARY SCHOOL,PANCHTHAR
233,INDRAWATI SECONDARY SCHOOL,PANCHTHAR
234,SINGHA SIDDHA SECONDARY SCHOOL,PANCHTHAR
235,YUWA VARSHA SECONDARY SCHOOL,PANCHTHAR
236,SARASWATI SECONDARY SCHOOL,PANCHTHAR
237,KALIKA SECONDARY SCHOOL,PANCHTHAR
301,KARPHOK VIDHYA MANDIR SECONDARY SCHOOL,ILAM
302,ILAM SECONDARY SCHOOL,ILAM
303,BHANU BHAKTA SECONDARY SCHOOL,ILAM
304,KRISHNASHRAM SECONDARY SCHOOL,ILAM
305,KANKAI SECONDARY SCHOOL,ILAM
306,ADARSHA SECONDARY SCHOOL,ILAM
307,SURYODAYA SHIKSHA SADAN SECONDARY SCHOOL,ILAM
308,CHARKHOLA SECONDARY SCHOOL,ILAM
310,AMAR SECONDARY SCHOOL,ILAM
311,SINGHA DEVI SECONDARY SCHOOL,ILAM
312,JEETPUR SECONDARY SCHOOL,ILAM
313,BAUDHHADHAM SECONDARY SCHOOL,ILAM
314,MAHENDRODAYA SECONDARY SCHOOL,ILAM
315,FIKKAL SECONDARY SCHOOL,ILAM
316,SHANTI NIKETAN SECONDARY SCHOOL,ILAM
317,JANAK SECONDARY SCHOOL,ILAM
318,SARASWATI SECONDARY SCHOOL,ILAM
319,SINGHDEVI SECONDARY SCHOOL,ILAM
320,SARASWATI SECONDARY SCHOOL,ILAM
321,JANATA SECONDARY SCHOOL,ILAM
322,HIMALAYA SECONDARY SCHOOL,ILAM
323,SANGRUMBA  SECONDARY SCHOOL,ILAM
324,CHISOPANI  SECONDARY SCHOOL,ILAM
325,SARASWATI  SECONDARY SCHOOL,ILAM
326,AMAR KALYAN  SECONDARY SCHOOL,ILAM
327,NEPALTAR  SECONDARY SCHOOL,ILAM
328,NAMSALING SECONDARY SCHOOL,ILAM
329,RASTRIYA SECONDARY SCHOOL,ILAM
330,PANCHA SECONDARY SCHOOL,ILAM
331,DAMBAR DEVI SECONDARY SCHOOL,ILAM
332,PURNA SMARAK SECONDARY SCHOOL,ILAM
333,KHANDRUNG SECONDARY SCHOOL,ILAM
334,BISHNU SECONDARY SCHOOL,ILAM
335,BHAGAWATI SECONDARY SCHOOL,ILAM
336,SHANTIPUR SECONDARY SCHOOL,ILAM
337,BALMANDAL SECONDARY SCHOOL,ILAM
339,JANATA SECONDARY SCHOOL,ILAM
340,JYOTI SECONDARY SCHOOL,ILAM
341,RASTRAPREMI SECONDARY SCHOOL,ILAM
342,EVERLAND INTERNATIONAL ACADEMY SECONDARY SCHOOL,ILAM
343,HERITAGE NATIONAL ACADEMY SECONDARY SCHOOL,ILAM
403,KANKAI CAMPUS,JHAPA
404,KAMALA MADAN ASHARIT SMRITI SECONDARY SCHOOL,JHAPA
405,GOMENDRA SECONDARY SCHOOL,JHAPA
406,PROJJWAL COLLEGIATE ACADEMY SECONDARY SCHOOL,JHAPA
407,SIDDHARTHA BOARDING SECONDARY SCHOOL,JHAPA
408,DAMAK MODEL SECONDARY SCHOOL,JHAPA
409,COMMONERS' HOME FOR EDUCATION SECONDARY SCHOOL,JHAPA
410,JAN ADARSHA SECONDARY SCHOOL,JHAPA
411,RASTRIYA RAMANIYA ADARSHA SECONDARY SCHOOL,JHAPA
412,BUDDHA ADARSHA SECONDARY SCHOOL,JHAPA
413,EMERALD ACADEMY SECONDARY SCHOOL,JHAPA
414,HIMALAYAN ENGLISH ACADEMY SECONDARY SCHOOL,JHAPA
415,ADARSHA VIDYAMANDIR SECONDARY SCHOOL,JHAPA
416,SHANISHCHARE SECONDARY SCHOOL,JHAPA
417,HARIKUL NAMUNA SECONDARY SCHOOL,JHAPA
418,PURBANCHAL SECONDARY SCHOOL,JHAPA
419,DAMAK MULTIPLE CAMPUS,JHAPA
420,AMITY SECONDARY SCHOOL,JHAPA
421,KAKARVITTA SECONDARY SCHOOL,JHAPA
422,MANAKAMANA SECONDARY SCHOOL,JHAPA
424,GYAN JYOTI SECONDARY SCHOOL,JHAPA
425,BALMIKI PROVIDENCE SECONDARY SCHOOL,JHAPA
426,GLOBAL EDUCATIONAL ACADEMY SECONDARY SCHOOL,JHAPA
427,SHARADA SECONDARY SCHOOL,JHAPA
428,HIMALI SECONDARY SCHOOL,JHAPA
429,SAHID DHARMABHAKTA SECONDARY SCHOOL,JHAPA
430,LAXMI SECONDARY SCHOOL,JHAPA
431,JANATA SECONDARY SCHOOL,JHAPA
433,BIRENDRA SECONDARY SCHOOL,JHAPA
434,JANA JAGRITI SECONDARY SCHOOL,JHAPA
