neb_code,school_name,district,district_code
101,MAIWA KHOLA SECONDARY SCHOOL,taplejung,101
102,GANESH SECONDARY SCHOOL,taplejung,101
103,MOTI SECONDARY SCHOOL,taplejung,101
104,SINAM SECONDARY SCHOOL,taplejung,101
105,BHANJYANG SECONDARY SCHOOL,taplejung,101
106,BHANUJAN SECONDARY SCHOOL,taplejung,101
107,DURGA SECONDARY SCHOOL,taplejung,101
108,BAL SUBODHINI SANSKRIT SECONDARY SCHOOL,taplejung,101
109,NARAYANI SECONDARY SCHOOL,taplejung,101
110,SARASWATI SECONDARY SCHOOL,taplejung,101
112,THECHAMBU SECONDARY SCHOOL,taplejung,101
113,TELLOK SECONDARY SCHOOL,taplejung,101
114,JANATA SECONDARY SCHOOL,taplejung,101
115,SIWA SECONDARY SCHOOL,taplejung,101
116,KALIKA SECONDARY SCHOOL,taplejung,101
117,SARASWATI SECONDARY SCHOOL,taplejung,101
118,CHANGE SECONDARY SCHOOL,taplejung,101
119,KANCHANJUNGHA BOARDING  SECONDARY SCHOOL,taplejung,101
120,PRITHVI  SECONDARY SCHOOL,taplejung,101
121,TRIBHUVAN  SECONDARY SCHOOL,taplejung,101
122,NILGIRI  SECONDARY SCHOOL,taplejung,101
123,CHAKSIBOTE SECONDARY SCHOOL,taplejung,101
124,SANWA SECONDARY SCHOOL,taplejung,101
125,SIDDHAKALI SECONDARY SCHOOL,taplejung,101
126,MAHENDRA SECONDARY SCHOOL,taplejung,101
127,BIRENDRA SECONDARY SCHOOL,taplejung,101
128,SHARADA SECONDARY SCHOOL,taplejung,101
129,AMBEGUDIN SECONDARY SCHOOL,taplejung,101
130,SARASWATI SECONDARY SCHOOL,taplejung,101
201,SIDDHADEVI SECONDARY SCHOOL,panchthar,109
202,NILGIRI SECONDARY SCHOOL,panchthar,109
204,KANCHANJANGHA ACADEMY SECONDARY SCHOOL,panchthar,109
205,PRITHIVI SECONDARY SCHOOL,panchthar,109
206,DURGA SECONDARY SCHOOL,panchthar,109
207,SIDDHAKALI SECONDARY SCHOOL,panchthar,109
208,THARPU SECONDARY SCHOOL,panchthar,109
209,SIRIJUNG SECONDARY SCHOOL,panchthar,109
210,AMARPUR SECONDARY SCHOOL,panchthar,109
211,KHALANGATAR SECONDARY SCHOOL,panchthar,109
212,INDRANI SECONDARY SCHOOL,panchthar,109
